id,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min,injury
1005,618,50,50,136,432,7,8,10,41,18,42,88,460,46,4,5,73,73,1,30,16,27,507,0,135,5,9,0,1,25,0,0
1006,2470,90,179,485,1806,7,20,46,152,36,137,486,1707,90,4,5,398,199,1,82,194,122,2327,0,174,4,9,0,2,95,0,0
1007,0,0,0,0,0,0,0,0,0,0,0,0,612,38,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,889,73,73,163,653,7,12,24,51,27,46,129,594,59,4,4,122,122,1,25,68,29,934,0,177,5,10,0,2,26,0,0
1009,1059,70,70,202,787,7,9,11,54,30,84,217,714,59,4,5,141,141,1,26,88,27,432,0,151,4,11,0,2,36,0,0
1010,987,63,63,193,731,7,4,12,61,22,70,155,614,47,3,4,158,158,1,34,88,36,588,0,176,4,10,0,2,33,0,0
1011,700,36,36,135,529,6,8,17,79,13,51,127,558,47,3,5,74,74,1,23,32,19,428,0,167,4,11,0,1,20,0,0
1012,943,56,56,156,731,6,4,5,64,18,60,135,697,54,3,4,139,139,1,19,70,50,1123,0,242,4,9,0,1,26,0,0
1013,982,76,76,153,753,7,21,21,66,19,57,176,653,54,5,5,160,160,1,44,92,24,929,0,184,5,14,0,1,27,0,0
1014,927,78,78,200,649,7,15,17,60,24,63,157,639,58,4,5,108,108,1,27,64,17,670,0,147,4,9,0,1,33,0,0
1015,990,63,63,171,756,5,15,31,75,19,61,162,759,51,6,4,149,149,1,37,64,48,1308,0,212,4,12,0,1,32,0,0
1016,826,68,68,168,590,8,10,25,62,20,48,157,576,82,4,5,104,104,1,17,57,30,440,0,164,5,13,0,2,27,0,0
1017,966,106,106,198,662,8,19,40,105,22,38,149,530,44,4,4,147,147,1,29,32,86,618,0,126,7,67,0,1,31,0,0
1018,963,95,95,192,676,7,20,22,70,22,59,159,646,40,5,5,122,122,1,28,58,36,323,0,124,5,11,0,1,34,0,0
1019,829,65,65,144,620,6,8,18,56,15,39,130,554,29,5,4,106,106,1,35,38,33,737,0,148,5,10,0,1,24,0,1
1020,981,67,67,176,738,8,13,18,58,19,43,163,668,95,4,6,123,123,1,18,50,55,607,0,212,6,15,0,2,22,0,0
1021,982,94,94,181,707,8,23,36,96,17,29,141,618,51,5,5,100,100,1,35,28,37,374,0,121,5,14,0,1,38,0,0
1022,881,70,70,147,664,6,10,16,86,23,37,138,600,40,4,4,123,123,1,35,50,38,559,0,206,5,11,0,2,24,0,0
1023,922,87,87,151,684,7,14,14,68,31,40,147,631,45,4,5,147,147,1,35,78,34,1087,0,138,5,10,0,1,39,0,0
1024,0,0,0,0,0,0,0,0,0,0,0,0,471,39,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,0,0,0,0,0,0,0,0,0,0,0,0,752,94,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,823,72,72,143,608,7,9,14,74,19,35,116,526,40,4,5,92,92,1,31,42,19,298,0,134,4,7,0,1,27,0,0
1027,731,59,59,137,535,6,8,17,53,14,25,106,534,38,4,4,80,80,1,24,39,17,443,0,154,4,7,0,1,29,0,0
1028,878,56,56,163,659,6,5,21,69,18,29,116,605,43,3,4,85,85,1,19,40,26,1341,0,214,4,7,0,1,20,0,0
1029,627,35,35,132,460,4,2,13,40,17,34,91,530,31,3,4,121,121,1,24,45,52,547,0,194,5,12,0,1,17,0,0
1030,609,36,36,97,476,4,7,8,64,6,25,132,565,43,4,4,95,95,1,30,43,22,1413,0,373,5,10,0,1,15,0,0
1031,0,0,0,0,0,0,0,0,0,0,0,0,556,43,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032,1050,47,47,164,839,6,9,20,59,12,47,128,609,61,4,4,77,77,0,12,23,42,756,0,297,4,6,0,2,17,0,0
1033,1105,91,91,171,843,8,17,24,68,39,42,163,676,48,6,5,172,172,1,45,77,50,908,0,145,5,8,0,2,38,0,0
1034,643,32,32,100,511,5,3,6,29,11,31,121,517,30,3,4,127,127,1,17,86,24,272,0,116,4,8,0,1,14,0,0
1035,821,49,49,134,638,5,9,11,67,16,49,157,734,56,5,5,146,146,1,34,74,38,711,0,229,5,8,0,3,18,0,0
1036,409,30,30,75,304,4,1,5,30,10,25,79,293,33,3,3,103,103,1,29,56,18,304,0,102,5,11,0,1,16,0,0
1037,629,43,43,103,483,4,6,4,37,15,37,106,500,25,3,4,88,88,1,28,42,18,276,0,113,5,12,0,1,18,0,0
1038,321,19,19,66,236,3,4,9,36,3,14,50,330,55,4,3,45,45,0,18,18,9,2499,0,314,4,6,0,2,11,0,0
1039,380,23,23,82,275,5,5,7,34,10,27,85,318,53,3,4,128,128,2,24,77,27,919,0,326,3,4,0,0,10,0,0
1040,913,36,71,154,688,4,15,16,85,25,47,175,864,51,6,4,108,54,0,28,49,31,1400,0,257,5,10,0,2,26,0,0
1041,632,33,33,87,512,4,2,8,42,13,29,103,548,46,3,4,109,109,1,19,51,39,763,0,348,4,7,0,1,10,0,0
1042,697,47,47,119,531,5,4,15,40,16,43,129,595,37,3,4,117,117,1,26,59,32,864,0,176,4,7,0,1,23,0,0
1043,1154,33,65,189,900,6,6,19,96,15,57,197,883,49,4,4,183,92,1,43,79,61,1045,0,172,5,12,0,2,32,0,0
1044,675,45,45,124,506,5,6,11,64,11,38,124,620,52,6,4,125,125,1,18,56,51,1499,0,170,5,11,0,2,17,0,0
1045,615,26,26,109,480,5,2,12,44,5,32,109,456,28,3,4,81,81,1,28,33,20,2284,0,465,5,12,0,0,10,0,0
1046,948,56,56,148,744,5,10,17,62,21,42,228,768,59,4,4,214,214,1,28,141,45,1163,0,266,5,9,0,2,17,0,0
1047,793,41,41,150,602,5,4,13,68,12,41,177,639,43,3,4,154,154,1,30,103,21,1294,0,269,4,6,0,1,16,0,0
1048,866,58,58,144,664,5,6,17,71,8,38,156,698,54,5,4,131,131,1,25,68,38,628,0,197,5,20,0,1,21,0,0
1049,711,43,43,118,550,7,5,12,62,13,29,116,546,45,6,5,182,182,2,22,71,89,324,0,112,4,10,0,2,21,0,0
1050,637,40,40,89,508,5,4,8,76,15,29,107,541,45,3,4,100,100,1,28,42,30,974,0,195,4,6,0,1,23,0,0
1051,723,34,34,107,582,7,3,10,57,11,42,202,533,36,3,5,257,257,2,18,132,107,440,0,153,4,5,0,2,13,0,0
1052,948,60,60,146,742,5,6,19,106,22,41,165,781,60,5,4,146,146,1,37,75,34,1152,0,236,5,10,0,1,22,0,0
1053,666,51,51,104,511,5,13,17,56,13,26,107,534,38,4,4,145,145,1,35,80,30,1813,0,285,5,10,0,2,16,0,0
1054,380,19,19,55,306,4,2,4,35,6,20,65,369,31,3,3,136,136,1,11,104,21,258,0,150,4,5,0,2,6,0,0
1055,786,43,43,126,617,5,4,10,55,17,37,138,619,36,4,4,186,186,1,38,122,26,1787,0,355,4,14,0,1,14,0,0
