Player,Opponent,Date,Start?,min,fgm/a,pct,3fg/a,pct,ftm/a,pct,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg,,,,,,,,,,
Anthony Gaines,Michigan,1/29/2018,NULL,10,0-0,0.00,0-0,0.00,0-0,0.00,0,2,2,2,0,0,1,0,0,0,4,,,,,,,,,,
Anthony Gaines,Wisconsin,2/1/2018,NULL,8,0-1,0.00,0-1,0.00,0-0,0.00,0,3,3,2,1,0,1,0,0,0,3,,,,,,,,,,
Anthony Gaines,Michigan,2/6/2018,NULL,4,0-2,0.00,0-2,0.00,0-0,0.00,0,1,1,2,0,0,0,0,0,0,3,,,,,,,,,,
Anthony Gaines,Maryland,2/10/2018,NULL,17,0-1,0.00,0-1,0.00,4-4,1.00,1,3,4,2,2,0,3,0,0,4,3,,,,,,,,,,
Anthony Gaines,Rutgers,2/13/2018,NULL,30,2-3,0.67,1-1,1.00,1-2,0.50,0,2,2,2,3,1,0,1,1,6,3,,,,,,,,,,
Anthony Gaines,Michigan State,2/17/2018,Yes,37,4-9,0.44,0-0,0.00,2-2,1.00,3,2,5,3,3,4,0,0,0,10,4,,,,,,,,,,
Anthony Gaines,Maryland,2/19/2018,Yes,38,2-5,0.40,1-3,0.33,1-2,0.50,1,3,4,3,2,5,0,0,2,6,4,,,,,,,,,,
Anthony Gaines,Wisconsin,2/22/2018,Yes,31,3-3,1.00,0-0,0.00,0-0,0.00,1,3,4,3,3,1,1,0,0,6,4,,,,,,,,,,
Anthony Gaines,Iowa,2/25/2018,Yes,40,4-11,0.36,1-4,0.25,0-0,0.00,0,2,2,3,1,6,3,0,0,9,4,,,,,,,,,,
Anthony Gaines,Penn State,3/1/2018,Yes,28,2-7,0.29,2-4,0.50,0-0,0.00,0,1,1,3,2,1,2,0,0,6,4,,,,,,,,,,
Anthony Gaines,Total,NULL,NULL,596,42-112,0.38,8-1,0.24,37-47,0.79,24,57,81,3,52,37,29,4,17,129,4,,,,,,,,,,
Isiah Brown,Loyola (Md.),11/10/2017,NULL,14,1-2,0.50,0-0,0.00,2-2,1.00,0,1,1,1,1,1,1,0,0,4,4,,,,,,,,,,
Isiah Brown,Saint Peter's,11/13/2017,NULL,4,0-1,0.00,0-1,0.00,0-0,0.00,0,1,1,1,1,0,1,0,0,0,2,,,,,,,,,,
