id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low,average_duration,total_player_load,average_player_load,peak_player_load,player_load_per_minute,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/10/2016,4,914,36,36,138,740,7,1,11,92,13,23,140,0:07:26,686,40,4,5,145,145,1,83,48,14,477,0,151,0:00:00,0:00:00,0,5,16,0,0,18,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/11/2016,4,1138,89,89,216,833,7,6,24,99,28,54,171,0:11:59,911,70,5,6,145,145,1,58,50,37,1121,0,179,0:00:00,0:00:00,0,5,18,0,2,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/12/2016,4,0,0,0,0,0,0,0,0,0,0,0,0,0:10:57,12,1,0,0,0,0,0,0,0,0,0,0,0,0:00:00,0:00:00,0,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/13/2016,4,778,50,50,138,590,5,5,6,49,17,39,106,0:07:05,654,33,4,5,84,84,1,53,12,19,837,0,149,0:00:00,0:00:00,0,4,9,0,1,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/14/2016,4,1178,73,73,209,896,7,5,19,94,24,71,190,0:12:52,1036,80,9,6,223,223,1,104,96,23,1086,21,199,0:00:00,0:00:00,0,7,41,0,2,34,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/15/2016,4,618,71,71,116,431,8,14,17,59,23,42,110,0:12:39,473,79,4,6,196,196,3,84,100,12,605,22,152,0:00:00,0:00:00,0,7,47,0,2,23,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/16/2016,4,1427,63,125,226,1076,6,19,22,84,37,67,218,0:13:21,1219,72,5,5,222,111,1,79,104,39,1218,0,161,0:00:00,0:00:00,0,5,14,0,2,49,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/19/2016,4,847,57,57,122,668,6,9,13,59,14,35,144,0:11:59,650,54,5,5,137,137,1,62,44,31,936,0,197,0:00:00,0:00:00,0,4,10,0,2,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/20/2016,4,847,52,52,130,665,6,4,13,54,29,30,149,0:09:02,739,46,4,5,151,151,1,76,52,23,553,0,151,0:00:00,0:00:00,0,4,9,0,3,34,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/21/2016,4,952,35,70,141,741,5,7,13,88,25,35,176,0:11:41,790,46,5,4,199,100,1,79,77,43,679,0,130,0:00:00,0:00:00,0,5,13,0,2,34,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/22/2016,4,1141,93,93,215,833,8,7,17,77,31,69,200,0:12:19,941,78,4,6,162,162,1,87,51,24,878,0,152,0:00:00,0:00:00,0,6,19,0,2,38,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/24/2016,4,838,49,49,124,665,7,8,14,83,16,31,129,0:07:38,656,41,5,5,125,125,1,62,41,22,547,0,113,0:00:00,0:00:00,0,5,8,0,2,24,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/25/2016,4,1199,91,91,211,897,7,11,26,87,30,62,189,0:13:18,1018,78,5,6,247,247,1,119,100,28,1129,0,172,0:00:00,0:00:00,0,7,31,0,3,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/27/2016,4,884,49,49,141,694,6,4,16,66,19,41,145,0:10:13,823,55,4,5,153,153,1,76,64,13,622,0,178,0:00:00,0:00:00,0,4,7,0,2,25,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/28/2016,4,1126,74,74,189,863,7,14,23,87,23,57,188,0:12:50,963,74,9,6,261,261,2,133,114,14,1036,0,179,0:00:00,0:00:00,0,7,37,0,3,40,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,11/30/2016,4,867,56,56,134,677,8,4,7,60,20,46,137,0:09:01,647,54,4,6,207,207,2,112,66,29,609,0,139,0:00:00,0:00:00,0,6,28,0,3,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/1/2016,4,929,43,43,161,725,7,7,21,68,15,42,133,0:10:19,694,58,4,6,151,151,1,70,56,25,352,0,133,0:00:00,0:00:00,0,4,8,0,1,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/2/2016,4,820,41,41,135,644,7,6,11,60,20,42,129,0:07:24,579,39,4,5,143,143,1,105,18,20,722,0,193,0:00:00,0:00:00,0,5,27,0,1,21,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/3/2016,4,1204,83,83,220,901,7,8,27,92,28,73,199,0:13:27,1067,82,7,6,246,246,1,157,63,26,1055,0,162,0:00:00,0:00:00,0,8,42,0,2,41,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/6/2016,4,932,47,47,158,727,7,13,16,84,8,41,136,0:09:05,751,54,5,6,196,196,2,93,81,22,1640,0,161,0:00:00,0:00:00,0,6,16,0,3,24,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/7/2016,4,652,35,35,113,504,6,4,17,65,13,32,128,0:08:53,597,50,4,6,238,238,2,124,102,12,805,0,110,0:00:00,0:00:00,0,8,37,0,5,25,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/9/2016,4,1053,61,61,163,829,7,12,19,90,19,45,162,0:08:46,892,52,6,6,240,240,2,162,57,21,1163,0,122,0:00:00,0:00:00,0,5,32,0,3,42,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/10/2016,4,762,39,39,108,615,6,6,7,56,13,40,111,0:07:03,656,36,4,5,142,142,1,88,40,14,1810,0,207,0:00:00,0:00:00,0,6,26,0,1,19,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/11/2016,4,1111,54,54,204,853,6,6,17,80,15,76,183,0:13:12,938,72,6,5,219,219,1,140,57,22,1166,0,208,0:00:00,0:00:00,0,8,44,0,4,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/13/2016,4,876,61,61,157,658,7,9,18,71,22,37,156,0:06:21,722,36,5,6,156,156,1,85,45,26,282,0,119,0:00:00,0:00:00,0,6,13,0,2,20,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/14/2016,4,1311,106,106,236,969,8,13,25,120,38,81,218,0:12:59,1029,79,5,6,235,235,1,122,78,35,840,0,135,0:00:00,0:00:00,0,7,21,0,2,46,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/15/2016,4,489,21,21,76,392,4,5,8,41,8,35,100,0:19:25,487,81,5,4,116,116,1,38,69,9,847,0,375,0:00:00,0:00:00,0,3,5,0,2,7,0
