id,date,jersey,total_jumps,jumps_avg,jumps_per_minute,high_intensity_jumps,med_intesnity_jumps,low_intensity_jumps
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/7/17,4,102,102,0.68,37,51,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/8/17,4,182,182,1.49796,103,65,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/9/17,4,140,70,0.75458,52,56,32
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/10/17,4,97,97,0.776,56,16,25
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/11/17,4,97,97,0.89815,47,17,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/13/17,4,147,147,1.12214,39,91,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/14/17,4,188,188,1.51614,104,53,31
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/15/17,4,102,102,0.98552,16,70,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/16/17,4,101,101,0.78906,49,17,35
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/17/17,4,214,214,2.33882,160,46,8
bc83f44d-fdf4-42a7-a23b-565de107bb9c,3/18/17,4,165,165,1.03448,88,43,34
bc83f44d-fdf4-42a7-a23b-565de107bb9c,4/18/17,4,152,152,0.9754,84,52,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,4/20/17,4,113,113,1.04808,83,17,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,4/24/17,4,181,181,1.35954,140,20,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,4/27/17,4,135,135,1.44695,95,18,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/2/17,4,114,114,2.1909,94,11,9
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/9/17,4,118,118,0.62961,82,19,17
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/11/17,4,109,109,0.27574,50,44,15
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/18/17,4,101,101,0.3352,39,42,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/23/17,4,152,152,0.98276,89,42,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,5/25/17,4,143,143,1.20084,89,38,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/20/17,4,255,255,1.96706,101,114,40
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/22/17,4,96,96,0.94452,26,49,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/26/17,4,127,127,1.13547,57,43,27
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/27/17,4,172,172,1.42207,105,34,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/29/17,4,123,123,1.00731,48,55,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,6/30/17,4,106,106,1.11393,70,8,28
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/6/17,4,130,130,1.04032,76,34,20
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/11/17,4,73,73,0.97146,44,16,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/17/17,4,234,234,1.74757,85,116,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/18/17,4,129,129,0.8684,65,42,22
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/24/17,4,72,72,0.59832,38,21,13
bc83f44d-fdf4-42a7-a23b-565de107bb9c,7/25/17,4,125,125,0.85247,63,46,16
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/15/17,4,167,167,1.09504,93,48,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/19/17,4,43,43,0.55793,24,10,9
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/20/17,4,95,95,0.86784,68,17,10
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/27/17,4,101,101,0.72856,75,12,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/29/17,4,72,72,0.45795,26,20,26
bc83f44d-fdf4-42a7-a23b-565de107bb9c,9/30/17,4,185,185,0.94539,88,67,30
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/2/17,4,125,125,0.99142,57,25,43
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/3/17,4,96,96,0.76916,49,33,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/9/17,4,65,65,0.36287,39,14,12
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/10/17,4,213,213,1.4387,113,86,14
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/12/17,4,194,194,1.12045,78,52,64
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/13/17,4,142,142,1.15643,84,37,21
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/16/17,4,98,98,1.15071,48,17,33
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/17/17,4,210,210,1.39291,128,47,35
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/18/17,4,96,96,1.3541,58,20,18
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/21/17,4,113,113,0.84405,41,48,24
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/23/17,4,172,172,1.03234,91,62,19
bc83f44d-fdf4-42a7-a23b-565de107bb9c,10/31/17,4,104,104,0.84227,21,73,10
