id,date,jersey,rhie_bout_recovery_max,rhie_bout_recovery_min,rhie_bout_recovery_mean,rhie_effort_duration_max,rhie_effort_duration_min,rhie_effort_duration_max,rhie_effort_per_bout,rhie_effort_per_bout_max,rhie_effort_recovery_min,rhie_effort_recovery_mean,rhie_total_bouts,rhie_efforts_per_bout_min
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/27/16,4,959,0,170.44828,0:00:00,0:00:00,20,5.7931,12,0,1.98214,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/28/16,4,722,0,261.25,0:00:00,0:00:00,20,4.75,12,0,5.10526,8,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/29/16,4,1184,0,196.66667,0:00:00,0:00:00,18,4.09524,7,0,1.11628,21,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/30/16,4,1194,0,135.43333,0:00:00,0:00:00,20,6.28333,24,0,2.69761,60,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/1/17,4,236,0,81.18421,0:00:00,0:00:00,20,6.28947,19,0,2.20921,38,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/2/17,4,603,0,110.39131,0:00:00,0:00:00,20,6.80435,37,0,2.82109,46,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/3/17,4,644,0,107.78723,0:00:00,0:00:00,20,5.7234,30,0,2.02602,47,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/4/17,4,597,0,149.5,0:00:00,0:00:00,20,4.77273,11,0,1.09524,22,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/5/17,4,1158,21,167.4,0:00:00,0:00:00,20,6.28571,21,0,2.48182,35,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/7/17,4,283,0,86.38095,0:00:00,0:00:00,19,10.42857,31,0,2.53425,21,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/8/17,4,1238,0,182.67742,0:00:00,0:00:00,20,5.96774,25,0,0.95676,31,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/10/17,4,817,0,105.33333,0:00:00,0:00:00,20,4.43333,9,0,1.56391,30,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/11/17,4,0,0,0,0:00:00,0:00:00,0,0,0,0,0,0,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/12/17,4,779,0,138.7069,0:00:00,0:00:00,20,6.03448,26,0,2.32286,58,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/14/17,4,854,0,149,0:00:00,0:00:00,20,4.30769,16,0,1.84821,26,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/15/17,4,1291,0,161.78723,0:00:00,0:00:00,20,5.2766,18,0,2.43548,47,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/17/17,4,380,0,95.5,0:00:00,0:00:00,18,5.29412,12,0,1.51667,34,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/18/17,4,639,0,100.20408,0:00:00,0:00:00,20,5.97959,17,0,2.24573,49,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/20/17,4,796,0,149.88235,0:00:00,0:00:00,19,4.85294,13,0,1.87879,34,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/21/17,4,591,0,138.25,0:00:00,0:00:00,18,4.60714,10,0,0.87597,28,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/22/17,4,1074,0,180.61538,0:00:00,0:00:00,19,6.53846,20,0,1.73333,39,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/24/17,4,907,0,132.11429,0:00:00,0:00:00,18,5.85714,24,0,2.7561,35,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/25/17,4,1034,0,138.24324,0:00:00,0:00:00,20,5.16216,18,0,3.28796,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/26/17,4,1543,21,152.07693,0:00:00,0:00:00,20,6.55769,31,0,2.68622,52,3
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/28/17,4,793,0,137.25,0:00:00,0:00:00,20,5.28125,19,0,2.46154,32,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/29/17,4,1029,0,160.82609,0:00:00,0:00:00,20,5.56522,17,0,2.07422,46,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,1/31/17,4,888,0,155.81481,0:00:00,0:00:00,19,7.03704,66,0,1.06842,27,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/1/17,4,1102,0,179.5,0:00:00,0:00:00,20,9.65,30,0,3.03109,20,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/3/17,4,492,0,93.32432,0:00:00,0:00:00,20,4.75676,11,0,1.96023,37,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/4/17,4,1329,0,128.13158,0:00:00,0:00:00,20,7.23684,37,0,2.81455,38,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/5/17,4,657,0,125.45714,0:00:00,0:00:00,20,7.08571,30,0,2.33871,35,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/6/17,4,513,0,79.27778,0:00:00,0:00:00,20,4.83333,17,0,1.97701,36,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/7/17,4,1117,0,157.42,0:00:00,0:00:00,19,8.16,40,0,2.36029,50,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/8/17,4,1079,21,118.22222,0:00:00,0:00:00,20,11.66667,27,0,5,18,4
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/10/17,4,1503,0,129.48276,0:00:00,0:00:00,20,4.72414,11,0,1.21168,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/11/17,4,443,0,96.24138,0:00:00,0:00:00,20,5.27586,24,0,2.0915,29,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/12/17,4,1132,0,154.31818,0:00:00,0:00:00,20,7.02273,29,0,1.589,44,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/15/17,4,928,0,133.15686,0:00:00,0:00:00,20,6.2549,18,0,2.29781,51,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/17/17,4,1509,0,155.96875,0:00:01,0:00:00,20,4.3125,14,0,3.94928,32,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/18/17,4,906,0,196.54546,0:00:01,0:00:00,17,5.75758,30,0,1.26316,33,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/20/17,4,726,0,166.44,0:00:00,0:00:00,20,6.32,31,0,1.94937,25,0
bc83f44d-fdf4-42a7-a23b-565de107bb9c,2/21/17,4,1459,0,281.20588,0:00:01,0:00:00,18,5.70588,19,0,2.07216,34,0
