id,date,Jersey,total_ima,ima_high_avg,ima_high_total,ima_medium_total,ima_low_total,ima_per_min,ima_accel_high,ima_acel_medium,ima_acel_low,ima_decel_high,ima_decel_medium,ima_decel_low
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/21/2016 - Vic Law,4,692,35,35,104,553,6.06232,6,15,77,5,16,111
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/22/2016 - Vic Law,4,1268,80,80,237,951,7.12362,16,29,104,26,66,205
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/25/2016 - Vic Law,4,1138,78,78,207,853,7.45701,8,8,89,31,66,188
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/26/2016 - Vic Law,4,1109,40,80,206,823,7.0707,8,17,105,33,59,194
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/27/2016 - Vic Law,4,1030,78,78,190,762,5.69062,9,22,85,22,58,163
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/28/2016 - Vic Law,4,391,18,18,64,309,3.12953,2,4,22,7,13,61
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/29/2016 - Vic Law,4,910,48,48,150,712,7.55976,7,10,46,14,45,144
bc83f44d-fdf4-42a7-a23b-565de107bb9c,12/30/2016 - Vic Law,4,1601,60.5,121,298,1182,6.97093,20,30,107,33,99,274
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/01/2017 - Vic Law,4,953,101,101,213,639,10.00933,26,30,68,25,59,151
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/02/2017 - Vic Law,4,1325,110,110,261,954,7.86192,18,21,124,36,81,230
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/03/2017 - Vic Law,4,1196,96,96,219,881,7.83074,11,18,76,31,58,173
bc83f44d-fdf4-42a7-a23b-565de107bb9c,01/04/2017 - Vic Law,4,991,56,56,169,766,6.98272,5,18,79,25,39,165
