id,date,total_player_load
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/26/17,792.05368
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/28/17,271.20768
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/30/17,225.08527
2af37014-378f-4f0b-a1f4-111cd6c2d419,1/31/17,525.92462
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/1/17,1201.59564
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/3/17,525.88647
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/4/17,554.62564
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/5/17,496.41299
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/6/17,604.8882
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/7/17,870.16805
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/8/17,275.54742
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/10/17,671.09835
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/11/17,477.06913
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/12/17,861.61001
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/14/17,651.14161
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/15/17,725.05064
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/16/17,64.75509
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/17/17,602.78546
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/18/17,895.51139
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/20/17,547.37205
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/21/17,1085.48366
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/23/17,767.34718
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/24/17,600.58479
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/25/17,1096.82948
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/27/17,632.49962
2af37014-378f-4f0b-a1f4-111cd6c2d419,2/28/17,456.08418
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/1/17,697.20311
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/3/17,514.80663
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/4/17,386.33178
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/7/17,375.89478
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/8/17,513.83949
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/9/17,763.327
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/10/17,635.92796
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/11/17,619.3609
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/13/17,415.04494
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/14/17,480.50477
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/15/17,332.93705
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/16/17,751.18484
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/17/17,335.4763
2af37014-378f-4f0b-a1f4-111cd6c2d419,3/18/17,775.89284
2af37014-378f-4f0b-a1f4-111cd6c2d419,4/17/17,348.79456
2af37014-378f-4f0b-a1f4-111cd6c2d419,4/18/17,115.61135
2af37014-378f-4f0b-a1f4-111cd6c2d419,4/20/17,318.46497
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/3/17,400.56213
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/4/17,342.10638
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/8/17,416.77191
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/9/17,440.1228
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/11/17,5.16221
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/16/17,456.98798
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/18/17,5.91915
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/22/17,373.50284
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/23/17,212.20137
2af37014-378f-4f0b-a1f4-111cd6c2d419,5/25/17,218.01653
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/20/17,564.12336
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/22/17,450.37303
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/26/17,444.56982
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/27/17,600.49574
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/29/17,459.12561
2af37014-378f-4f0b-a1f4-111cd6c2d419,6/30/17,352.92558
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/6/17,570.36061
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/11/17,331.70167
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/17/17,662.777
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/18/17,118.5186
2af37014-378f-4f0b-a1f4-111cd6c2d419,7/24/17,583.18016
