Player,Player_ID,Opponent,Date,Start?,min,FGM,FGA,pct,3FG,3FGA,pct,FTM,FTA,pct,combo_shots_made,combo_shots_attempt,combo_shots_percent,off,def,tot,avg,pf,AST,T/O,BLK,STl,PTS,avg
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Georgia Tech,11/28/2017,NULL,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Illinois,12/1/2017,NULL,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,1.00,1.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Purdue,12/3/2017,NULL,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NULL,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Chicago State,12/11/2017,NULL,25.00,4.00,5.00,0.80,0.00,0.00,0.00,3.00,5.00,0.60,7.00,10.00,0.70,1.00,4.00,5.00,2.00,1.00,0.00,0.00,0.00,2.00,11.00,3.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Valparaiso,12/14/2017,NULL,22.00,2.00,4.00,0.50,0.00,0.00,0.00,2.00,2.00,1.00,4.00,6.00,0.67,0.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,2.00,6.00,3.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,DePaul,12/16/2017,NULL,24.00,0.00,2.00,0.00,0.00,1.00,0.00,2.00,2.00,1.00,2.00,5.00,0.40,1.00,6.00,7.00,2.00,5.00,0.00,2.00,0.00,0.00,2.00,3.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Lewis,12/19/2017,NULL,24.00,2.00,7.00,0.29,0.00,3.00,0.00,4.00,6.00,0.67,6.00,16.00,0.38,4.00,2.00,6.00,2.00,1.00,2.00,1.00,0.00,0.00,8.00,3.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Oklahoma,12/22/2017,NULL,18.00,2.00,4.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,2.00,5.00,0.40,1.00,4.00,5.00,3.00,1.00,1.00,1.00,0.00,0.00,4.00,3.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Brown,12/30/2017,NULL,22.00,5.00,11.00,0.46,0.00,2.00,0.00,1.00,1.00,1.00,6.00,14.00,0.43,3.00,2.00,5.00,3.00,1.00,2.00,1.00,0.00,2.00,11.00,4.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Nebraska,1/2/2018,NULL,13.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,3.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Penn State,1/5/2018,NULL,13.00,2.00,4.00,0.50,0.00,1.00,0.00,1.00,1.00,1.00,3.00,6.00,0.50,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,5.00,4.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Minnesota,1/10/2018,NULL,17.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,4.00,0.75,3.00,6.00,0.50,3.00,3.00,6.00,3.00,2.00,2.00,2.00,0.00,2.00,3.00,4.00
Anthony Gaines,f7964398-11c7-4287-9578-2698d6240e00,Indiana,1/14/2018,NULL,14.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,4.00
