period,season,date,game,win_loss,score,team_score,total_player_load,avg_load_against_opp
In Season,2016-17,1/13/2017,null,null,null,null,1328.24855,null
In Season,2016-17,1/14/2017,null,null,null,null,5443.40446,null
In Season,2016-17,1/15/2017,Iowa,Win,W89-54,89,7691.99773,7691.99773
In Season,2016-17,1/17/2017,null,null,null,null,6048.60124,null
In Season,2016-17,1/18/2017,null,null,null,null,6595.73953,null
In Season,2016-17,1/20/2017,null,null,null,null,6307.68668,null
In Season,2016-17,1/21/2017,null,null,null,null,5996.43097,null
In Season,2016-17,1/22/2017,Ohio State,Win,W74-72,74,7418.26953,7418.26953
In Season,2016-17,1/24/2017,null,null,null,null,6189.1529,null
In Season,2016-17,1/25/2017,null,null,null,null,7273.24127,null
In Season,2016-17,1/26/2017,Nebraska(2),Win,W73-61,73,7447.78421,7169.016405
In Season,2016-17,1/27/2017,null,null,null,null,1157.60684,null
In Season,2016-17,1/28/2017,null,null,null,null,5902.85099,null
In Season,2016-17,1/29/2017,Indiana(1),Win,W68-55,68,6062.36773,7914.80089
In Season,2016-17,1/30/2017,null,null,null,null,1712.59952,null
In Season,2016-17,1/31/2017,null,null,null,null,4895.92948,null
In Season,2016-17,2/1/2017,Purdue(1),Loss,L80-59,59,7816.9693,6767.402155
In Season,2016-17,2/3/2017,null,null,null,null,4439.84416,null
In Season,2016-17,2/4/2017,null,null,null,null,5745.26532,null
In Season,2016-17,2/5/2017,null,null,null,null,4898.36317,null
In Season,2016-17,2/6/2017,null,null,null,null,5924.93394,null
In Season,2016-17,2/7/2017,Illinois(1),Loss,L68-61,61,6237.79531,7494.71066
In Season,2016-17,2/8/2017,null,null,null,null,2628.57274,null
In Season,2016-17,2/10/2017,null,null,null,null,5419.62949,null
In Season,2016-17,2/11/2017,null,null,null,null,5758.33022,null
In Season,2016-17,2/12/2017,Wisconsin(1),Win,W66-59,66,6582.76415,5833.927715
In Season,2016-17,2/13/2017,null,null,null,null,2060.10663,null
In Season,2016-17,2/14/2017,null,null,null,null,6247.80999,null
In Season,2016-17,2/15/2017,Maryland(1),Loss,L74-64,64,6866.83345,6300.55386
In Season,2016-17,2/16/2017,null,null,null,null,2905.83831,null
In Season,2016-17,2/17/2017,null,null,null,null,6311.88183,null
In Season,2016-17,2/18/2017,Rutgers(2),Win,W69-65,69,7100.97776,8227.085927
In Season,2016-17,2/19/2017,null,null,null,null,3025.55147,null
In Season,2016-17,2/20/2017,null,null,null,null,6088.29011,null
In Season,2016-17,2/21/2017,Illinois(2),Loss,L66-50,50,8751.62601,7494.71066
In Season,2016-17,2/23/2017,null,null,null,null,7471.55356,null
In Season,2016-17,2/24/2017,null,null,null,null,6499.18831,null
In Season,2016-17,2/25/2017,Indiana(2),Loss,L63-62,62,9767.23405,7914.80089
In Season,2016-17,2/27/2017,null,null,null,null,7203.86633,null
In Season,2016-17,2/28/2017,null,null,null,null,6543.54585,null
In Season,2016-17,3/1/2017,Michigan,Win,W67-65,67,7090.97955,7090.97955
In Season,2016-17,3/3/2017,null,null,null,null,6101.05446,null
In Season,2016-17,3/4/2017,null,null,null,null,5635.51613,null
In Season,2016-17,3/5/2017,Purdue(2),Loss,L69-65,65,5717.83501,6767.402155
In Season,2016-17,3/7/2017,null,null,null,null,3937.62415,null
In Season,2016-17,3/8/2017,null,null,null,null,6338.92595,null
